Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
Q06096;39437.51953125;48747.765625;47375.3203125;41069.8359375;36239.20703125;35591.62109375;22834.453125;36378.39453125
Q06102;33381.60546875;15811.6953125;21412.54296875;35406.01171875;34769.49609375;30799.767578125;29013.3125;33856.296875
Q06103;441386.96875;418751.0625;465183.03125;449420.34375;461198.40625;449323.6875;482774.75;488557.75
Q06106;94465.7265625;107315.5078125;101897.0546875;99366.3046875;111032.7109375;110917.140625;104461.921875;111634.0546875
Q06107;215381.4375;158373.171875;212434.25;224202.859375;141646.375;164229.8125;171444.171875;262100.96875
Q06108;28448.4609375;31439.814453125;26547.28515625;30647.06640625;30345.373046875;26112.990234375;26594.943359375;27322.2578125
Q06132;71641.7734375;61051.2578125;53565.05859375;58710.87109375;56763.52734375;48095.6875;49325.72265625;59003.453125
Q06137;54671.6875;45299.7734375;68445.6640625;65174.8359375;51886.921875;58356.5234375;59489.9296875;64806.953125
Q06142;396990.9375;444279.28125;457679.25;492447.5625;600137.3125;607645.0625;576811.375;591017.3125
Q06143;78434.9296875;86100.6015625;114761.9921875;52915.265625;107374.390625;90665.15625;95399.21875;150452.09375
Q06144;150691.21875;145989.953125;128747.09375;137358.78125;128481.546875;127187.0078125;123760.734375;120460.0546875
Q06146;1159243.25;1293647.5;1077356.75;1160724.25;850444.5625;798686.1875;950535.0625;783603.4375
Q06147;27233.158203125;22828.330078125;27828.1484375;24953.794921875;21321.79296875;19199.140625;20354.318359375;25066.056640625
Q06151;237742.890625;334920.34375;325349.28125;295771.125;325914.28125;392823.65625;322383.125;364907.78125
Q06156;15631.416015625;19068.59375;13762.8271484375;20353.291015625;14345.337890625;15309.705078125;14976.431640625;15622.966796875
Q06168;169437.875;133153.390625;160796.9375;139713.765625;130970.4765625;141353.453125;122434.0703125;142637.71875
Q06169;167444.625;187186.375;153957.515625;183043.109375;214375.0625;193519.03125;199980.234375;193355.859375
Q06177;141856.515625;243648.59375;319733.78125;175192.515625;133445.296875;139906.75;150411.90625;128600.03125
Q06178;116398.609375;112007.421875;119899.515625;108343.65625;110005.5;111970.03125;109089.90625;106311.7890625
Q06179;43976.390625;32335.1796875;36638.62109375;45728.58203125;72430.1875;61762.859375;62767.83203125;73466.6796875
Q06188;87052.890625;91738.359375;89773.453125;106824.953125;91954.0859375;85601.75;92269.7578125;98169.5546875
Q06205;764482.375;721857;750235;671801.5;652705.0625;622279.6875;596990.9375;654412.625
Q06214;103587.6875;98094.3515625;78870.265625;83692.359375;114673.203125;102900.109375;121934.0546875;113026.671875
Q06217;138875.4375;123594.2109375;139606.203125;153748.234375;146854.171875;121342.140625;186176.984375;150618.171875
Q06218;198144.515625;174287.6875;171459.015625;185010.09375;178778.796875;200511.84375;199743.15625;208235.5625
Q06224;56635.015625;44311.265625;90228.3515625;73098.84375;38399.48828125;43314.1484375;53998.4921875;96780.0390625
Q06245;27558.83984375;26320.69921875;27958.931640625;28719.091796875;25553.533203125;23648.740234375;25322.751953125;24548.919921875
Q06251;32547.4609375;32324.7890625;33131.4921875;37477.10546875;13768.705078125;19640.748046875;21197.37109375;91217.8984375
Q06252;985680.3125;1201227.875;1053837.375;1013272.6875;1243963.375;1262430;1240038;1271862.25
Q06263;30303.314453125;23209.4453125;30957.326171875;27187.185546875;98487.3203125;59655;95259.28125;92532.0703125
Q06266;0;0;0;0;50465.09375;39891.7578125;44483.96875;40702.46875
Q06287;294362.125;206524.59375;260602.15625;275640.25;301755.71875;317694.21875;314507.625;306265.28125
Q06315;98038.4765625;77880.3515625;82272.4140625;83592.0859375;67966.875;57496.421875;68643.1484375;68774.3203125
Q06321;9271.4365234375;13458.9658203125;22944.2734375;14164.6318359375;23701.333984375;29536.009765625;48036.6328125;31929.376953125
Q06325;0;0;0;0;23200.775390625;22363.03515625;30277.052734375;24187.814453125
Q06336;189356.6875;200687.203125;197647.734375;195875.296875;170608.625;167126.703125;157064.796875;167199.515625
Q06337;82423.9140625;53948.734375;59460.984375;36806.98046875;7902.7216796875;23436.3125;22643.552734375;22965.236328125
Q06338;85469.984375;75236.5546875;99440.59375;88131.171875;114917.9921875;113688.9375;137303.296875;130943.625
Q06339;0;0;0;0;13167.4697265625;11365.28125;13974.283203125;11976.833984375
Q06344;234893.3125;219550.859375;207139.421875;217819.671875;220992.078125;235491.96875;221004.140625;243159.875
Q06346;29856.57421875;30400.69140625;36458.07421875;28410.439453125;43727.10546875;44437.30078125;43877.50390625;36658.796875
Q06385;158004.328125;140596.046875;189440.65625;171271.390625;195960.875;228947.96875;242602.984375;261993.28125
Q06389;150397.046875;91666.5234375;132666.796875;156185.921875;28847.826171875;16874.8984375;27983.92578125;27686.521484375
Q06405;526668.4375;551747;595360.4375;556119.125;509596.09375;525752.75;512518.03125;478820.09375
Q06406;1035329.5625;883464;879173.875;1109184.25;706896.9375;660886.875;718855;697226.3125
Q06407;43185.98828125;40212.02734375;40557.76953125;39865.1171875;34410.421875;36737.62109375;34719.01953125;36843.921875
Q06408;88417.1484375;60346.6015625;76276.5546875;72699.015625;84152.609375;60501.8359375;62412.72265625;80977.0390625
Q06436;17706.32421875;39807.05078125;0;54321.8203125;49020.05078125;49562.00390625;43316.421875;42009.92578125
Q06440;797030.375;812479.375;753129.1875;729542.4375;877940.625;874376.1875;838814.125;833662.75
Q06449;315618.90625;276105.90625;229289.078125;297765.125;254010.90625;262091.078125;258888.703125;229851.421875
Q06451;282047.5625;345758.78125;274850.125;289776.28125;314907.59375;311045.8125;284619.96875;311219.25
Q06479;34847.1328125;31835.205078125;41023.98828125;40374.01953125;42534.140625;38923.34375;39301.03125;46981.42578125
Q06485;226851.609375;285092.875;278367.25;322645.84375;286418.6875;254270.09375;291585.8125;300216.15625
Q06488;96589.578125;102907.65625;102985.9765625;95847.78125;75808.546875;78930.140625;80654.0546875;88967.2421875
Q06489;485942.4375;395757.28125;425202.90625;434968.5625;471344.71875;446994.625;492823.75;467662.40625
Q06493;218137.515625;166034;211809.359375;183172.984375;189017.0625;180956.984375;212394.296875;204131.03125
Q06494;272121.53125;376447.96875;430421.5;422673.5;497422.0625;505080.65625;492966.40625;513836.25
Q06497;64996.96484375;72959.109375;75704.703125;70313.5;81763.203125;84023.6796875;83976.34375;92299.5546875
Q06504;117048.0625;124853.59375;89547.828125;92394.1484375;67544.7421875;90580.0859375;74100.265625;81575.21875
Q06505;419050.75;451281.59375;403757.46875;420343.875;427513.8125;409948.65625;397723.3125;394026.96875
Q06506;100089.6796875;86012.234375;86293.125;81764.796875;92445.96875;84530.3984375;83360.6953125;83484.484375
Q06508;97067.1953125;85672.1171875;91140.375;92899.328125;74889.203125;68325.7265625;72357.8984375;74156.9453125
Q06511;163557.953125;133442.375;111451.3984375;143903.125;143213.796875;127122.90625;135110.859375;130288.0625
Q06512;114970.234375;69785.078125;80689.6875;78647.890625;196557.109375;194789.515625;211115.859375;240409.546875
Q06522;97013.9296875;88149.9921875;127097.2734375;111753.6171875;78070.9765625;86701.140625;69449.0078125;73001.9609375
Q06523;118194.53125;141773.875;131621.890625;128983.609375;168148.1875;160502.03125;155453.546875;153892.78125
Q06525;0;3508.50537109375;7407.404296875;5496.45947265625;9922.154296875;11002.421875;8950.2802734375;9873.94140625
Q06538;87643.453125;61512.125;92250.890625;97667.03125;59863.84375;67769.0859375;72441.234375;75068.4296875
Q06543;55992.453125;125404.0703125;91069.5078125;74687.703125;116117.6640625;118333.453125;111235.96875;141423.5
Q06549;62340.37109375;59557.64453125;46118.87109375;48666.75;41638.54296875;34792.55859375;39139.82421875;31511.759765625
Q06580;175873.953125;85465.7109375;104245.734375;149352.265625;124549.3984375;89321.1328125;104706.796875;78649.8046875
Q06604;76022.3828125;74225.109375;61448.4921875;70927.4453125;57589.7578125;43832.87890625;51731.51171875;56097.5625
Q06608;167492.421875;212905.671875;216200.296875;207318.5625;293513.96875;307217.9375;318270;273480.90625
Q06616;98990.9296875;96839.796875;90374.25;109334.2265625;84317.0234375;44350.59375;70432.625;73898.2578125
Q06623;113171.9609375;51639.5859375;105474.0703125;123852.1015625;63149.41796875;51732.1875;91520.765625;72418.625
Q06624;104109.8359375;99264.8984375;128741.8125;94706.1640625;127207.546875;106041.4609375;105282.9609375;105384.7109375
Q06625;543760.125;736796;945682.375;785955.8125;830552.5625;935744.25;1005294.4375;972891
Q06628;35800.9296875;28546.5234375;40174.03125;29153.5;20821.0625;20083.4140625;18582.087890625;20919.37109375
Q06629;18776.341796875;17356.18359375;21715.876953125;25708.95703125;28593.92578125;38045.734375;35007.5078125;29266.263671875
Q06630;110177.5859375;70262.8671875;50342.43359375;125574.7421875;62130.046875;73087.2578125;59449.90234375;64124.359375
Q06631;159684.984375;141965.3125;133935.6875;139705.75;158389.234375;141109.03125;160981.90625;147841.96875
Q06632;139379.140625;112996.5703125;150926.5625;158359.546875;189973.03125;207281.640625;258696.046875;219727.84375
Q06636;38897.2734375;26593.732421875;26193.552734375;31961.982421875;32175.443359375;31033.919921875;33105.44921875;32921.42578125
Q06639;71414.3359375;81284.9375;67910.8359375;80106.5390625;83621.8046875;75665.0859375;60681.67578125;72330.5078125
Q06644;0;0;0;0;178077.171875;175077.515625;166280.609375;212640.546875
Q06668;64976.44140625;59887.828125;70292.03125;121170.40625;57226.44921875;70781.140625;63678.890625;64151.48828125
Q06672;36798.875;35648.74609375;37609.0859375;62396.47265625;68141.34375;57857.2890625;60566.11328125;72077.296875
Q06673;0;0;0;0;8898.6953125;10628.998046875;14928.7265625;13771.3466796875
Q06677;116418.3515625;86295.2265625;81379.6328125;91363.546875;82132.875;73288.6328125;79116.9765625;77549.2734375
Q06678;611723.8125;618654.625;667934.9375;627513.8125;649329.6875;665891.6875;633331.4375;714396.5625
Q06679;112134.3125;91646.4609375;117763.0625;108034.125;101932.9453125;109124.9765625;119202.59375;128715.6015625
Q06680;30828.34375;18687.03125;19824.509765625;35102.42578125;20610.79296875;21248.125;21992.73828125;18785.720703125
Q06681;54857.54296875;41658.8515625;42350.37890625;53862.4921875;41545.3359375;33097.11328125;30192.71875;36737.69921875
Q06682;135310.234375;125349.4609375;104082.9609375;113199.28125;131549.40625;129494.6328125;139153.1875;135294.046875
Q06685;231114.8125;224773.984375;237382.140625;208647.375;260314.578125;253380.71875;254575.546875;268250.1875
Q06688;48672.90234375;33717.0625;34334.51171875;31688.47265625;23414.0390625;34898.7109375;23148.119140625;24569.77734375
Q06689;109688.984375;125964.53125;152434.703125;131904.46875;140241.953125;144357.875;131043.3828125;139062.296875
Q06697;188176.0625;179797.640625;178584.703125;189125.71875;154892.328125;154711.71875;146978.578125;156932.625
Q06698;109125.2421875;99757.2421875;102011.8828125;98182.15625;92277.3203125;88877.15625;87719.3359375;79857.03125
Q06704;374231.09375;374888.59375;298393.5;334707.5625;353158.5;344771.875;341043.375;323358.8125
Q06705;397208.28125;378143.59375;383984;391009.8125;417864.6875;394687.09375;372018.6875;391942.90625
Q06706;247162.34375;237743.375;237511.53125;232820.03125;222594.84375;240236.40625;214200.59375;240242.96875
Q06708;79573.5546875;115717.8203125;109020;103962.7734375;93895.09375;101019.40625;114353.484375;112021.2734375
Q06709;210418.3125;175863.828125;184449.453125;198533.96875;249568;244439.765625;212718.15625;228134.5
Q06810;96886.296875;43413.0078125;31998.6875;68952.359375;47058.953125;39558.1328125;35327.4140625;40917.03125
Q06815;53435.19140625;53610.91796875;59857.234375;72312.40625;62388.0390625;35113.3125;49568.0390625;65592.7734375
Q06817;44068.96484375;41463.0234375;39988.1953125;44918.92578125;38952.18359375;37809.734375;40082.6171875;42957.91015625
Q06819;196554.21875;166567.375;170970.8125;182972.390625;79949.671875;100646.3359375;124884.765625;125558.3515625
Q06833;94015.9453125;89891.6015625;108520.25;108336.765625;106735.1640625;93324.7578125;108127.53125;106381.140625
Q06839;90826.140625;82165.984375;80531.3984375;97713.796875;93441.984375;96757.7578125;94240.7890625;104292.40625
Q06891;59472.34765625;43829.65234375;51808.13671875;40917.91796875;39458.97265625;31039.9453125;35664.0546875;35535.046875
Q06892;96348.140625;125944.359375;150334.765625;115902.2109375;88674.6484375;96303.8203125;83494.484375;74014.1953125
Q06991;10797.33203125;13858.2802734375;42693.3828125;12957.4169921875;49875.5390625;77651.15625;53332.87109375;55295.375
Q07084;0;0;0;0;11233.0908203125;10785.94921875;10844.044921875;10054.2958984375
Q07350;75722.6640625;89924.796875;119134.171875;85396.8671875;89844.25;48544.51953125;61440.09765625;84825.484375
Q07362;308225.4375;257894.546875;249882.65625;266013.6875;231140.65625;203689.171875;224015.4375;191898.546875
Q07381;172226.28125;140454.421875;172606.640625;161953.921875;217209.6875;236046.71875;262339.4375;271568.09375
Q07395;31301.244140625;19774.521484375;21228.5625;29551.693359375;30011.087890625;41696.2421875;61492.93359375;50457.0234375
Q07418;255996.1875;228641.484375;184461.75;274745.03125;218999.5625;222040.515625;244883.34375;227608.140625
Q07442;0;0;0;0;13358.8046875;19343.56640625;16021.443359375;0
Q07451;704951.125;831094.8125;880891.875;782186.75;668522.375;701926.625;586527.6875;689077.3125
Q07457;134604.046875;128652.1328125;120189.3515625;128584.796875;122981.7421875;114459.328125;117658.75;123684.4765625
Q07458;135567.703125;116808.7265625;164232.390625;119275.1171875;63427.30859375;61694.6015625;65513;59883.3125
Q07468;467510.25;395799.59375;454018.875;487622.71875;75616.0625;92258.2890625;87446.1640625;103081.7890625
Q07478;2805391.75;2469923.25;2726309.5;2688299.25;3154473;3127424.75;3340281.25;3444893
Q07500;0;37494.8671875;82022.09375;60707.92578125;55698.04296875;59383.0390625;55890.42578125;59828.37890625
Q07505;474772.875;465926.28125;586342.625;625064.4375;585813.25;676271.1875;683976;757120.375
Q07527;141098.640625;133136.890625;138606.453125;141560.171875;133293.65625;130662.1875;144205.78125;133107.171875
Q07528;57523.05078125;42041.73046875;49273.97265625;42387.3359375;39407.38671875;33643.81640625;29841.154296875;36716.515625
Q07532;66597.8359375;84914.1015625;82528.4140625;109712.0390625;55649.12109375;64520.4921875;71925.7734375;55439.265625
Q07533;28533.333984375;27620.92578125;23169.021484375;17729.328125;27874.2265625;27856.2578125;25428.20703125;29520.126953125
Q07540;337591.71875;315299.25;275687.34375;380731.46875;330920.75;257161.921875;272606.3125;224898.890625
Q07541;96088.890625;84137.3984375;74213.8984375;67828.171875;96274.796875;84283.5390625;81385.140625;77045.0703125
Q07549;28959.021484375;21514.328125;34314.125;29937.650390625;16807.943359375;21628.80078125;18606.26171875;22846.76171875
Q07551;3882368.75;4985951.5;5032817;4408413;7561992;7651594.5;7885002;7291844
Q07560;17842.576171875;17024.10546875;21300.8828125;22072.083984375;19499.62109375;27018.3671875;34678.9140625;26157.146484375
Q07589;113248.6328125;119162.4453125;155383.078125;138071.171875;111463.75;134416.8125;152854.59375;139077.34375
Q07623;485383.6875;471699.1875;467207.5625;487596.5625;468548.75;455322.15625;477587.78125;477840.4375
Q07648;64569.19921875;68631.2421875;94218.296875;62175.24609375;82290.234375;92434.234375;114537.546875;117123.203125
Q07651;536743.8125;906064.0625;724780.9375;842522.75;649112.5625;522453.9375;723919.1875;695737.25
Q07653;641004.3125;1194683.5;1094474;1080104.875;1376387.75;1297123.625;1373947.75;1247309.75
Q07655;94353.0078125;77829.5703125;70653.75;70590.71875;66970.5;50939.87890625;50654.9453125;53227.4765625
Q07657;389857.28125;346877;329071.78125;352034.09375;339402.125;323974.5625;329890.84375;321166.96875
Q07688;224403.109375;206087.078125;242938.421875;216190.65625;237677.203125;239245.0625;255587.4375;264262.625
Q07716;235194.921875;248589.640625;237202.90625;260592.28125;280122.3125;284762.8125;278737.71875;270139.21875
Q07800;92060.3828125;82865.546875;83974.984375;88512.078125;77096.109375;69323.9140625;64934.66796875;68401.34375
Q07807;210051.625;188957.8125;178295.734375;194718.296875;182071.5;174078.609375;163176.90625;169247.9375
Q07824;63624.859375;107068.4296875;72878.484375;91898.96875;66909.515625;69970.0703125;62010.16015625;77473.328125
Q07825;254025.21875;235097.28125;232047.875;241363.203125;222540.984375;226443.328125;218350.859375;236633.78125
Q07830;53450.96484375;40800.0078125;54137.734375;47858.95703125;32196.48828125;38701.2265625;35718.703125;48546.03125
Q07844;105654.1796875;84902.5390625;88053.3359375;101479.125;72511.4609375;74726.546875;71348.484375;82854.4765625
